vid,name,authority,field_authority_link,lat,long,field_geo_alt_name
city,Kapuskasing,geonames,http://sws.geonames.org/5989403,49.41694,-82.43308,
city,Katrime,geonames,http://sws.geonames.org/5989718,50.08173,-98.79017,
city,Kawartha Lakes,geonames,http://sws.geonames.org/5989818,44.58342,-78.83288,
city,Kemnay,geonames,http://sws.geonames.org/5990689,49.84171,-100.13508,
city,Kettle Point Indian Reserve 44,geonames,http://sws.geonames.org/5991471,43.19588,-82.0081,
city,Kincardine,geonames,http://sws.geonames.org/5992145,44.23339,-81.48306,
city,King,geonames,http://sws.geonames.org/5992181,43.96681,-79.58292,
city,Kingston,geonames,http://sws.geonames.org/5992500,44.22976,-76.48098,
city,Kingsville,geonames,http://sws.geonames.org/5992525,42.03759,-82.73872,
city,Kirkland Lake,geonames,http://sws.geonames.org/5992836,48.14461,-80.03767,
city,Kyaiklat,geonames,http://sws.geonames.org/11154126,16.51306,95.63923,Kyaiklatt
city,L'Ascension,geonames,http://sws.geonames.org/6050214,46.5501,-74.83255,
city,L'Orignal,geonames,http://sws.geonames.org/8556299,45.6198,-74.6915,
city,La Nation,geonames,http://sws.geonames.org/6049135,45.4168,-74.96599,La Nation
city,La Tuque,geonames,http://sws.geonames.org/8673864,48.06384,-74.05047,
city,Lac Ste. Anne,geonames,http://sws.geonames.org/6043470,53.68344,-114.43539,
city,Lachute,geonames,http://sws.geonames.org/8674054,45.66731,-74.29541,
city,Ladywood,geonames,http://sws.geonames.org/6047824,50.1794,-96.49699,
city,Lafontaine,geonames,http://sws.geonames.org/6047874,44.7501,-80.06638,
city,Lanark,geonames,http://sws.geonames.org/6049128,45.01722,-76.36333,
city,Lanark Highlands,geonames,http://sws.geonames.org/6049131,45.07114,-76.48321,
city,Larkhill,geonames,http://sws.geonames.org/2644852,51.2,-1.81667,
city,LaSalle,geonames,http://sws.geonames.org/6050177,42.21679,-83.04985,
city,Latchford,geonames,http://sws.geonames.org/6050330,47.33346,-79.8164,
city,Lausanne,geonames,http://sws.geonames.org/2659994,46.516,6.63282,
city,Lavinia,geonames,http://sws.geonames.org/6050729,50.27441,-100.66899,
city,Lawrenceburg,geonames,http://sws.geonames.org/4635849,35.2423,-87.33474,
city,Leamington,geonames,http://sws.geonames.org/6051122,42.05009,-82.59981,
city,Leiden,geonames,http://sws.geonames.org/2751773,52.15833,4.49306,
city,Leipzig,geonames,http://sws.geonames.org/2879139,51.33962,12.37129,
city,Lévis,geonames,http://sws.geonames.org/6325521,46.80326,-71.17793,
city,Lhasa,geonames,http://sws.geonames.org/1280737,29.65,91.1,
city,Libau,geonames,http://sws.geonames.org/6053520,50.26891,-96.71981,
city,Lil'wat First Nation,geonames,http://sws.geonames.org/6080422,50.31912,-122.72211,Mount Currie Indian Reserve
city,Lille,geonames,http://sws.geonames.org/2998324,50.63297,3.05858,
city,Lincoln,geonames,http://sws.geonames.org/6054260,43.16681,-79.48291,
city,Lindsay,geonames,http://sws.geonames.org/6054350,44.35012,-78.73286,
city,Lisbon,geonames,http://sws.geonames.org/2267057,38.71667,-9.13333,Lisboa
city,Liverpool,geonames,http://sws.geonames.org/2644210,53.41058,-2.97794,
city,Lockport,geonames,http://sws.geonames.org/6058291,50.0831,-96.94502,
city,London (Ont.),geonames,http://sws.geonames.org/6058560,42.98339,-81.23304,
