vid,name,authority,field_authority_link,lat,long
city_section,Baldwin Village,geonames,http://sws.geonames.org/7870787,43.65586,-79.39326
city_section,Toronto Pearson International Airport,geonames,http://sws.geonames.org/6296338,43.68066,-79.61286
city_section,CFB Downsview,wikidata,https://www.wikidata.org/wiki/Q5010460,43.7439,-79.4656
city_section,Little Portugal,geonames,http://sws.geonames.org/7870917,43.64663,-79.42956
city_section,The Riverboat Coffee House,wikidata,https://www.wikidata.org/wiki/Q23461911,43.670278,-79.391111
city_section,Lawrence Park,geonames,http://sws.geonames.org/7870868,43.72396,-79.39416
city_section,The Rivoli,wikidata,https://www.wikidata.org/wiki/Q7761046,43.6493,-79.3949
city_section,Church-Yonge Corridor,geonames,http://sws.geonames.org/12156882,43.65965,-79.37902
city_section,Concord,geonames,http://sws.geonames.org/5926526,43.80011,-79.48291
city_section,Trinity Bellwoods Park,geonames,http://sws.geonames.org/7870921,43.64806,-79.41429
city_section,Lachine,geonames,https://www.geonames.org/6024449,45.4315,-73.66908,
city_section,Longue-Pointe,geonames,https://www.geonames.org/6059888,45.57837,-73.53959,
