vid,name,authority,field_authority_link
language,Hiligaynon,iso639-2b,http://id.loc.gov/vocabulary/languages/hil
language,Western Pahari languages,iso639-2b,http://id.loc.gov/vocabulary/languages/him
language,Hindi,iso639-2b,http://id.loc.gov/vocabulary/languages/hin
language,Hittite,iso639-2b,http://id.loc.gov/vocabulary/languages/hit
language,Hmong,iso639-2b,http://id.loc.gov/vocabulary/languages/hmn
language,Hiri Motu,iso639-2b,http://id.loc.gov/vocabulary/languages/hmo
language,Croatian,iso639-2b,http://id.loc.gov/vocabulary/languages/hrv
language,Upper Sorbian,iso639-2b,http://id.loc.gov/vocabulary/languages/hsb
language,Hungarian,iso639-2b,http://id.loc.gov/vocabulary/languages/hun
language,Hupa,iso639-2b,http://id.loc.gov/vocabulary/languages/hup
language,Iban,iso639-2b,http://id.loc.gov/vocabulary/languages/iba
language,Igbo,iso639-2b,http://id.loc.gov/vocabulary/languages/ibo
language,Icelandic,iso639-2b,http://id.loc.gov/vocabulary/languages/ice
language,Ido,iso639-2b,http://id.loc.gov/vocabulary/languages/ido
language,Sichuan Yi,iso639-2b,http://id.loc.gov/vocabulary/languages/iii
language,Ijo,iso639-2b,http://id.loc.gov/vocabulary/languages/ijo
language,Inuktitut,iso639-2b,http://id.loc.gov/vocabulary/languages/iku
language,Interlingue,iso639-2b,http://id.loc.gov/vocabulary/languages/ile
language,Iloko,iso639-2b,http://id.loc.gov/vocabulary/languages/ilo
language,Interlingua (International Auxiliary Language Association),iso639-2b,http://id.loc.gov/vocabulary/languages/ina
language,Indic (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/inc
language,Indonesian,iso639-2b,http://id.loc.gov/vocabulary/languages/ind
language,Indo-European (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/ine
language,Ingush,iso639-2b,http://id.loc.gov/vocabulary/languages/inh
language,Inupiaq,iso639-2b,http://id.loc.gov/vocabulary/languages/ipk
language,Iranian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/ira
language,Iroquoian (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/iro
language,Italian,iso639-2b,http://id.loc.gov/vocabulary/languages/ita
language,Javanese,iso639-2b,http://id.loc.gov/vocabulary/languages/jav
language,Lojban (Artificial language),iso639-2b,http://id.loc.gov/vocabulary/languages/jbo
language,Japanese,iso639-2b,http://id.loc.gov/vocabulary/languages/jpn
language,Judeo-Persian,iso639-2b,http://id.loc.gov/vocabulary/languages/jpr
language,Judeo-Arabic,iso639-2b,http://id.loc.gov/vocabulary/languages/jrb
language,Kara-Kalpak,iso639-2b,http://id.loc.gov/vocabulary/languages/kaa
language,Kabyle,iso639-2b,http://id.loc.gov/vocabulary/languages/kab
language,Kachin,iso639-2b,http://id.loc.gov/vocabulary/languages/kac
language,Kalâtdlisut,iso639-2b,http://id.loc.gov/vocabulary/languages/kal
language,Kamba,iso639-2b,http://id.loc.gov/vocabulary/languages/kam
language,Kannada,iso639-2b,http://id.loc.gov/vocabulary/languages/kan
language,Karen languages,iso639-2b,http://id.loc.gov/vocabulary/languages/kar
language,Kashmiri,iso639-2b,http://id.loc.gov/vocabulary/languages/kas
language,Kanuri,iso639-2b,http://id.loc.gov/vocabulary/languages/kau
language,Kawi,iso639-2b,http://id.loc.gov/vocabulary/languages/kaw
language,Kazakh,iso639-2b,http://id.loc.gov/vocabulary/languages/kaz
language,Kabardian,iso639-2b,http://id.loc.gov/vocabulary/languages/kbd
language,Khasi,iso639-2b,http://id.loc.gov/vocabulary/languages/kha
language,Khoisan (Other),iso639-2b,http://id.loc.gov/vocabulary/languages/khi
language,Khmer,iso639-2b,http://id.loc.gov/vocabulary/languages/khm
language,Khotanese,iso639-2b,http://id.loc.gov/vocabulary/languages/kho
language,Kikuyu,iso639-2b,http://id.loc.gov/vocabulary/languages/kik
language,Kinyarwanda,iso639-2b,http://id.loc.gov/vocabulary/languages/kin
language,Kyrgyz,iso639-2b,http://id.loc.gov/vocabulary/languages/kir
language,Kimbundu,iso639-2b,http://id.loc.gov/vocabulary/languages/kmb
language,Konkani,iso639-2b,http://id.loc.gov/vocabulary/languages/kok
language,Komi,iso639-2b,http://id.loc.gov/vocabulary/languages/kom
language,Kongo,iso639-2b,http://id.loc.gov/vocabulary/languages/kon
language,Korean,iso639-2b,http://id.loc.gov/vocabulary/languages/kor
